timestamp,visible,in_flight
2026-07-02T13:19:29Z,0,0
2026-07-02T13:19:31Z,0,0
2026-07-02T13:19:33Z,0,0
2026-07-02T13:19:34Z,0,0
2026-07-02T13:19:36Z,0,0
2026-07-02T13:19:38Z,0,0
2026-07-02T13:19:39Z,0,0
2026-07-02T13:19:41Z,0,0
2026-07-02T13:19:43Z,0,0
2026-07-02T13:19:44Z,0,0
2026-07-02T13:19:46Z,0,0
2026-07-02T13:19:48Z,0,0
2026-07-02T13:19:50Z,0,0
2026-07-02T13:19:51Z,0,0
2026-07-02T13:19:53Z,0,0
2026-07-02T13:19:54Z,0,0
2026-07-02T13:19:56Z,0,0
2026-07-02T13:19:58Z,0,0
2026-07-02T13:20:00Z,0,0
2026-07-02T13:20:02Z,0,0
2026-07-02T13:20:04Z,0,0
2026-07-02T13:20:05Z,0,0
2026-07-02T13:20:07Z,0,0
2026-07-02T13:20:09Z,0,0
2026-07-02T13:20:10Z,0,0
2026-07-02T13:20:12Z,0,0
2026-07-02T13:20:14Z,0,0
2026-07-02T13:20:15Z,0,0
2026-07-02T13:20:17Z,0,0
2026-07-02T13:20:19Z,0,0
2026-07-02T13:20:20Z,0,0
2026-07-02T13:20:22Z,0,0
2026-07-02T13:20:24Z,0,0
2026-07-02T13:20:25Z,0,0
2026-07-02T13:20:27Z,0,0
2026-07-02T13:20:29Z,0,0
2026-07-02T13:20:30Z,0,0
2026-07-02T13:20:32Z,0,0
2026-07-02T13:20:33Z,0,0
2026-07-02T13:20:35Z,0,0
2026-07-02T13:20:37Z,0,0
2026-07-02T13:20:38Z,0,0
2026-07-02T13:20:40Z,0,0
2026-07-02T13:20:41Z,0,0
2026-07-02T13:20:43Z,0,0
2026-07-02T13:20:45Z,0,0
2026-07-02T13:20:46Z,0,0
2026-07-02T13:20:48Z,0,0
2026-07-02T13:20:50Z,0,0
2026-07-02T13:20:51Z,0,0
2026-07-02T13:20:53Z,0,0
2026-07-02T13:20:55Z,0,0
2026-07-02T13:20:57Z,0,0
2026-07-02T13:20:58Z,0,0
2026-07-02T13:21:00Z,0,0
2026-07-02T13:21:01Z,0,0
2026-07-02T13:21:03Z,0,0
2026-07-02T13:21:05Z,0,0
2026-07-02T13:21:07Z,0,0
2026-07-02T13:21:08Z,0,0
2026-07-02T13:21:10Z,0,0
2026-07-02T13:21:11Z,0,0
2026-07-02T13:21:13Z,0,0
2026-07-02T13:21:15Z,0,0
2026-07-02T13:21:17Z,0,0
2026-07-02T13:21:19Z,0,0
2026-07-02T13:21:20Z,0,0
2026-07-02T13:21:22Z,0,0
2026-07-02T13:21:24Z,0,0
2026-07-02T13:21:25Z,0,0
2026-07-02T13:21:27Z,0,0
2026-07-02T13:21:29Z,0,0
2026-07-02T13:21:30Z,0,0
2026-07-02T13:21:32Z,0,0
2026-07-02T13:21:34Z,0,0
2026-07-02T13:21:36Z,0,0
2026-07-02T13:21:37Z,0,0
2026-07-02T13:21:39Z,0,0
2026-07-02T13:21:41Z,0,0
2026-07-02T13:21:42Z,0,0
2026-07-02T13:21:44Z,0,0
2026-07-02T13:21:45Z,0,0
2026-07-02T13:21:47Z,0,0
2026-07-02T13:21:49Z,0,0
2026-07-02T13:21:51Z,0,0
2026-07-02T13:21:52Z,0,0
